ID, Method, Class, Line,
27, void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String), org.gnucash.android.db.DatabaseAdapter, $r1 = r0.<org.gnucash.android.db.DatabaseAdapter: android.database.sqlite.SQLiteDatabase mDb>, 63, 
28, void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String), org.gnucash.android.db.DatabaseAdapter, specialinvoke r0.<org.gnucash.android.db.DatabaseAdapter: void createTempView()>(), 51, 
29, void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String), org.gnucash.android.db.DatabaseAdapter, if $i0 < 9 goto label3, 49, 
30, void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String), org.gnucash.android.db.DatabaseAdapter, $i0 = virtualinvoke $r1.<android.database.sqlite.SQLiteDatabase: int getVersion()>(), 47, 
31, void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String), org.gnucash.android.db.DatabaseAdapter, $r1 = r0.<org.gnucash.android.db.DatabaseAdapter: android.database.sqlite.SQLiteDatabase mDb>, 45, 
32, void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String), org.gnucash.android.db.DatabaseAdapter, if $z0 == 0 goto label2, 35, 
33, void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String), org.gnucash.android.db.DatabaseAdapter, $z0 = virtualinvoke $r1.<android.database.sqlite.SQLiteDatabase: boolean isReadOnly()>(), 33, 
34, void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String), org.gnucash.android.db.DatabaseAdapter, if $z0 == 0 goto label1, 31, 
35, void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String), org.gnucash.android.db.DatabaseAdapter, $z0 = virtualinvoke $r1.<android.database.sqlite.SQLiteDatabase: boolean isOpen()>(), 29, 
36, void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String), org.gnucash.android.db.DatabaseAdapter, r0.<org.gnucash.android.db.DatabaseAdapter: android.database.sqlite.SQLiteDatabase mDb> = $r1, 27, 
37, void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String), org.gnucash.android.db.DatabaseAdapter, r0.<org.gnucash.android.db.DatabaseAdapter: java.lang.String mTableName> = $r2, 25, 
38, void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String), org.gnucash.android.db.DatabaseAdapter, r0.<org.gnucash.android.db.DatabaseAdapter: java.lang.String LOG_TAG> = "DatabaseAdapter", 23, 
39, void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String), org.gnucash.android.db.DatabaseAdapter, specialinvoke r0.<java.lang.Object: void <init>()>(), 21, 
40, android.view.View onCreateView(android.view.LayoutInflater;android.view.ViewGroup;android.os.Bundle), org.gnucash.android.ui.account.DeleteAccountDialogFragment, r0.<org.gnucash.android.ui.account.DeleteAccountDialogFragment: android.widget.Spinner mTransactionsDestinationAccountSpinner> = $r8, 327, 
41, android.view.View onCreateView(android.view.LayoutInflater;android.view.ViewGroup;android.os.Bundle), org.gnucash.android.ui.account.DeleteAccountDialogFragment, $r8 = (android.widget.Spinner) $r5, 325, 
42, android.view.View onCreateView(android.view.LayoutInflater;android.view.ViewGroup;android.os.Bundle), org.gnucash.android.ui.account.DeleteAccountDialogFragment, $r5 = virtualinvoke $r5.<android.view.View: android.view.View findViewById(int)>(2131689847), 323, 
43, android.view.View onCreateView(android.view.LayoutInflater;android.view.ViewGroup;android.os.Bundle), org.gnucash.android.ui.account.DeleteAccountDialogFragment, r0.<org.gnucash.android.ui.account.DeleteAccountDialogFragment: android.view.View mTransactionOptionsView> = $r5, 283, 
44, android.view.View onCreateView(android.view.LayoutInflater;android.view.ViewGroup;android.os.Bundle), org.gnucash.android.ui.account.DeleteAccountDialogFragment, $r5 = virtualinvoke $r4.<android.view.View: android.view.View findViewById(int)>(2131689649), 281, 
45, android.view.View onCreateView(android.view.LayoutInflater;android.view.ViewGroup;android.os.Bundle), org.gnucash.android.ui.account.DeleteAccountDialogFragment, $r4 = virtualinvoke $r1.<android.view.LayoutInflater: android.view.View inflate(int;android.view.ViewGroup;boolean)>(2130903092; $r2; 0), 279, 
