ID, Method, Class, Line,
0, android.text.Spannable highlightText(java.lang.String), com.fsck.k9.activity.compose.RecipientAdapter, $r3 = virtualinvoke $r2.<android.text.Spannable$Factory: android.text.Spannable newSpannable(java.lang.CharSequence)>($r1), 358
1, android.text.Spannable highlightText(java.lang.String), com.fsck.k9.activity.compose.RecipientAdapter, $r2 = staticinvoke <android.text.Spannable$Factory: android.text.Spannable$Factory getInstance()>(), 356
2, android.view.View getView(int;android.view.View;android.view.ViewGroup), com.fsck.k9.activity.compose.RecipientAdapter, virtualinvoke r0.<com.fsck.k9.activity.compose.RecipientAdapter: void bindView(android.view.View;com.fsck.k9.view.RecipientSelectView$Recipient)>($r2; $r3), 334
3, void bindView(android.view.View;com.fsck.k9.view.RecipientSelectView$Recipient), com.fsck.k9.activity.compose.RecipientAdapter, $r8 = virtualinvoke r0.<com.fsck.k9.activity.compose.RecipientAdapter: android.text.Spannable highlightText(java.lang.String)>($r7), 123
4, void bindView(android.view.View;com.fsck.k9.view.RecipientSelectView$Recipient), com.fsck.k9.activity.compose.RecipientAdapter, $r7 = virtualinvoke $r9.<com.fsck.k9.mail.Address: java.lang.String getAddress()>(), 119
5, java.lang.String getAddress(), com.fsck.k9.mail.Address, return r1, 647
6, java.lang.String getAddress(), com.fsck.k9.mail.Address, r1 = r0.<com.fsck.k9.mail.Address: java.lang.String mAddress>, 649
