ID, Method, Class, Line,
181, android.support.design.widget.Snackbar remove(android.view.View;java.lang.String;java.lang.String;int;java.util.Set), com.mikepenz.fastadapter_extensions.UndoHelper, $r7 = interfaceinvoke r4.<java.util.Set: java.util.Iterator iterator()>(), 324
182, android.support.design.widget.Snackbar remove(android.view.View;java.lang.String;java.lang.String;int;java.util.Set), com.mikepenz.fastadapter_extensions.UndoHelper, $z0 = interfaceinvoke $r7.<java.util.Iterator: boolean hasNext()>(), 327
183, android.support.design.widget.Snackbar remove(android.view.View;java.lang.String;java.lang.String;int;java.util.Set), com.mikepenz.fastadapter_extensions.UndoHelper, if $z0 == 0 goto label3, 329
184, android.support.design.widget.Snackbar remove(android.view.View;java.lang.String;java.lang.String;int;java.util.Set), com.mikepenz.fastadapter_extensions.UndoHelper, $r8 = interfaceinvoke $r7.<java.util.Iterator: java.lang.Object next()>(), 331
185, android.support.design.widget.Snackbar remove(android.view.View;java.lang.String;java.lang.String;int;java.util.Set), com.mikepenz.fastadapter_extensions.UndoHelper, $r9 = (java.lang.Integer) $r8, 333
186, android.support.design.widget.Snackbar remove(android.view.View;java.lang.String;java.lang.String;int;java.util.Set), com.mikepenz.fastadapter_extensions.UndoHelper, $i1 = virtualinvoke $r9.<java.lang.Integer: int intValue()>(), 335
187, android.support.design.widget.Snackbar remove(android.view.View;java.lang.String;java.lang.String;int;java.util.Set), com.mikepenz.fastadapter_extensions.UndoHelper, $r12 = virtualinvoke $r11.<com.mikepenz.fastadapter.FastAdapter: com.mikepenz.fastadapter.FastAdapter$RelativeInfo getRelativeInfo(int)>($i1), 341
188, void <init>(), com.mikepenz.fastadapter.adapters.ItemAdapter, specialinvoke r0.<com.mikepenz.fastadapter.AbstractAdapter: void <init>()>(), 16
189, void <init>(), com.mikepenz.fastadapter.adapters.ItemAdapter, $r1 = new java.util.ArrayList, 18
190, void <init>(), com.mikepenz.fastadapter.adapters.ItemAdapter, specialinvoke $r1.<java.util.ArrayList: void <init>()>(), 20
191, void <init>(com.mikepenz.fastadapter.FastAdapter;com.mikepenz.fastadapter_extensions.UndoHelper$UndoListener), com.mikepenz.fastadapter_extensions.UndoHelper, specialinvoke r0.<java.lang.Object: void <init>()>(), 18
192, void <init>(com.mikepenz.fastadapter.FastAdapter;com.mikepenz.fastadapter_extensions.UndoHelper$UndoListener), com.mikepenz.fastadapter_extensions.UndoHelper, r0.<com.mikepenz.fastadapter_extensions.UndoHelper: com.mikepenz.fastadapter.FastAdapter mAdapter> = $r1, 22
193, void <init>(com.mikepenz.fastadapter.FastAdapter;com.mikepenz.fastadapter_extensions.UndoHelper$UndoListener), com.mikepenz.fastadapter_extensions.UndoHelper, r0.<com.mikepenz.fastadapter_extensions.UndoHelper: com.mikepenz.fastadapter_extensions.UndoHelper$UndoListener mUndoListener> = $r2, 24
194, void <init>(com.mikepenz.fastadapter.FastAdapter;int;android.support.v7.view.ActionMode$Callback), com.mikepenz.fastadapter_extensions.ActionModeHelper, r0.<com.mikepenz.fastadapter_extensions.ActionModeHelper: android.support.v7.view.ActionMode$Callback mCallback> = $r2, 56
195, com.mikepenz.fastadapter.FastAdapter$RelativeInfo getRelativeInfo(int), com.mikepenz.fastadapter.FastAdapter, if $i0 >= 0 goto label1, 1425
196, com.mikepenz.fastadapter.FastAdapter$RelativeInfo getRelativeInfo(int), com.mikepenz.fastadapter.FastAdapter, specialinvoke r1.<com.mikepenz.fastadapter.FastAdapter$RelativeInfo: void <init>()>(), 1429
197, void <init>(), com.mikepenz.fastadapter.FastAdapter$RelativeInfo, r0.<com.mikepenz.fastadapter.FastAdapter$RelativeInfo: com.mikepenz.fastadapter.IAdapter adapter> = null, 12
198, void <init>(com.mikepenz.fastadapter_extensions.UndoHelper;com.mikepenz.fastadapter_extensions.UndoHelper$1), com.mikepenz.fastadapter_extensions.UndoHelper$History, specialinvoke r0.<com.mikepenz.fastadapter_extensions.UndoHelper$History: void <init>(com.mikepenz.fastadapter_extensions.UndoHelper)>($r1), 40
199, void <init>(com.mikepenz.fastadapter_extensions.UndoHelper), com.mikepenz.fastadapter_extensions.UndoHelper$History, r0.<com.mikepenz.fastadapter_extensions.UndoHelper$History: java.util.ArrayList items> = $r2, 24
200, void <init>(com.mikepenz.fastadapter_extensions.UndoHelper), com.mikepenz.fastadapter_extensions.UndoHelper$History, specialinvoke $r2.<java.util.ArrayList: void <init>()>(), 22
201, void <init>(com.mikepenz.fastadapter_extensions.UndoHelper), com.mikepenz.fastadapter_extensions.UndoHelper$History, $r2 = new java.util.ArrayList, 20
202, void <init>(com.mikepenz.fastadapter_extensions.UndoHelper), com.mikepenz.fastadapter_extensions.UndoHelper$History, specialinvoke r0.<java.lang.Object: void <init>()>(), 18
203, void <init>(com.mikepenz.fastadapter_extensions.UndoHelper), com.mikepenz.fastadapter_extensions.UndoHelper$History, r0.<com.mikepenz.fastadapter_extensions.UndoHelper$History: com.mikepenz.fastadapter_extensions.UndoHelper this$0> = $r1, 16
204, void onShown(android.support.design.widget.Snackbar), com.mikepenz.fastadapter_extensions.UndoHelper$2, specialinvoke r0.<android.support.design.widget.Snackbar$Callback: void onShown(android.support.design.widget.Snackbar)>($r1), 60
205, void onShown(android.support.design.widget.Snackbar), com.mikepenz.fastadapter_extensions.UndoHelper$2, staticinvoke <com.mikepenz.fastadapter_extensions.UndoHelper: void access$300(com.mikepenz.fastadapter_extensions.UndoHelper)>($r2), 64
206, com.mikepenz.fastadapter.IItemAdapter remove(int), com.mikepenz.fastadapter.adapters.ItemAdapter, r0 = virtualinvoke r0.<com.mikepenz.fastadapter.adapters.ItemAdapter: com.mikepenz.fastadapter.adapters.ItemAdapter remove(int)>($i0), 507
207, com.mikepenz.fastadapter.adapters.ItemAdapter remove(int), com.mikepenz.fastadapter.adapters.ItemAdapter, $r2 = virtualinvoke r0.<com.mikepenz.fastadapter.adapters.ItemAdapter: com.mikepenz.fastadapter.FastAdapter getFastAdapter()>(), 524
208, com.mikepenz.fastadapter_extensions.UndoHelper access$200(com.mikepenz.fastadapter.app.MultiselectSampleActivity), com.mikepenz.fastadapter.app.MultiselectSampleActivity, r1 = $r0.<com.mikepenz.fastadapter.app.MultiselectSampleActivity: com.mikepenz.fastadapter_extensions.UndoHelper mUndoHelper>, 44
209, com.mikepenz.fastadapter_extensions.UndoHelper access$200(com.mikepenz.fastadapter.app.MultiselectSampleActivity), com.mikepenz.fastadapter.app.MultiselectSampleActivity, return r1, 46
210, android.support.v7.view.ActionMode$Callback access$100(com.mikepenz.fastadapter_extensions.ActionModeHelper), com.mikepenz.fastadapter_extensions.ActionModeHelper, return r1, 75
211, android.support.v7.view.ActionMode$Callback access$100(com.mikepenz.fastadapter_extensions.ActionModeHelper), com.mikepenz.fastadapter_extensions.ActionModeHelper, r1 = $r0.<com.mikepenz.fastadapter_extensions.ActionModeHelper: android.support.v7.view.ActionMode$Callback mCallback>, 73
212, boolean onActionItemClicked(android.support.v7.view.ActionMode;android.view.MenuItem), com.mikepenz.fastadapter_extensions.ActionModeHelper$ActionBarCallBack, z0 = interfaceinvoke $r4.<android.support.v7.view.ActionMode$Callback: boolean onActionItemClicked(android.support.v7.view.ActionMode;android.view.MenuItem)>($r1; $r2), 62
213, boolean onActionItemClicked(android.support.v7.view.ActionMode;android.view.MenuItem), com.mikepenz.fastadapter_extensions.ActionModeHelper$ActionBarCallBack, if $r4 == null goto label1, 56
214, boolean onActionItemClicked(android.support.v7.view.ActionMode;android.view.MenuItem), com.mikepenz.fastadapter_extensions.ActionModeHelper$ActionBarCallBack, $r4 = staticinvoke <com.mikepenz.fastadapter_extensions.ActionModeHelper: android.support.v7.view.ActionMode$Callback access$100(com.mikepenz.fastadapter_extensions.ActionModeHelper)>($r3), 54
215, boolean onActionItemClicked(android.support.v7.view.ActionMode;android.view.MenuItem), com.mikepenz.fastadapter.app.MultiselectSampleActivity$ActionBarCallBack, virtualinvoke $r4.<com.mikepenz.fastadapter_extensions.UndoHelper: android.support.design.widget.Snackbar remove(android.view.View;java.lang.String;java.lang.String;int;java.util.Set)>($r5; "Item removed"; "Undo"; 0; $r7), 49
216, boolean onActionItemClicked(android.support.v7.view.ActionMode;android.view.MenuItem), com.mikepenz.fastadapter.app.MultiselectSampleActivity$ActionBarCallBack, $r7 = virtualinvoke $r6.<com.mikepenz.fastadapter.FastAdapter: java.util.Set getSelections()>(), 47
217, boolean onActionItemClicked(android.support.v7.view.ActionMode;android.view.MenuItem), com.mikepenz.fastadapter.app.MultiselectSampleActivity$ActionBarCallBack, $r6 = staticinvoke <com.mikepenz.fastadapter.app.MultiselectSampleActivity: com.mikepenz.fastadapter.FastAdapter access$100(com.mikepenz.fastadapter.app.MultiselectSampleActivity)>($r3), 45
218, boolean onActionItemClicked(android.support.v7.view.ActionMode;android.view.MenuItem), com.mikepenz.fastadapter.app.MultiselectSampleActivity$ActionBarCallBack, $r3 = r0.<com.mikepenz.fastadapter.app.MultiselectSampleActivity$ActionBarCallBack: com.mikepenz.fastadapter.app.MultiselectSampleActivity this$0>, 43
219, boolean onActionItemClicked(android.support.v7.view.ActionMode;android.view.MenuItem), com.mikepenz.fastadapter.app.MultiselectSampleActivity$ActionBarCallBack, $r5 = virtualinvoke $r3.<com.mikepenz.fastadapter.app.MultiselectSampleActivity: android.view.View findViewById(int)>(16908290), 41
220, boolean onActionItemClicked(android.support.v7.view.ActionMode;android.view.MenuItem), com.mikepenz.fastadapter.app.MultiselectSampleActivity$ActionBarCallBack, $r3 = r0.<com.mikepenz.fastadapter.app.MultiselectSampleActivity$ActionBarCallBack: com.mikepenz.fastadapter.app.MultiselectSampleActivity this$0>, 39
221, com.mikepenz.fastadapter.adapters.ItemAdapter access$000(com.mikepenz.fastadapter.app.SampleActivity), com.mikepenz.fastadapter.app.SampleActivity, return r1, 27
222, com.mikepenz.fastadapter.adapters.ItemAdapter access$000(com.mikepenz.fastadapter.app.SampleActivity), com.mikepenz.fastadapter.app.SampleActivity, r1 = $r0.<com.mikepenz.fastadapter.app.SampleActivity: com.mikepenz.fastadapter.adapters.ItemAdapter mItemAdapter>, 25
223, void onCreate(android.os.Bundle), com.mikepenz.fastadapter.app.SampleActivity, r0.<com.mikepenz.fastadapter.app.SampleActivity: com.mikepenz.fastadapter.adapters.ItemAdapter mItemAdapter> = $r17, 588
224, void onCreate(android.os.Bundle), com.mikepenz.fastadapter.app.SampleActivity, specialinvoke $r17.<com.mikepenz.fastadapter.adapters.ItemAdapter: void <init>()>(), 586
225, void onCreate(android.os.Bundle), com.mikepenz.fastadapter.app.SampleActivity, $r17 = new com.mikepenz.fastadapter.adapters.ItemAdapter, 584
