ID, Method, Class, Line,
0, void onClick(android.view.View), org.openhab.habdroid.ui.OpenHABWidgetListFragment$3, $r4 = staticinvoke <android.preference.PreferenceManager: android.content.SharedPreferences getDefaultSharedPreferences(android.content.Context)>($r3), 35
1, void onClick(android.view.View), org.openhab.habdroid.ui.OpenHABWidgetListFragment$3, $r3 = virtualinvoke $r2.<org.openhab.habdroid.ui.OpenHABWidgetListFragment: android.support.v4.app.FragmentActivity getActivity()>(), 33
2, void onClick(android.view.View), org.openhab.habdroid.ui.OpenHABWidgetListFragment$3, $r2 = r0.<org.openhab.habdroid.ui.OpenHABWidgetListFragment$3: org.openhab.habdroid.ui.OpenHABWidgetListFragment this$0>, 31
3, void <init>(org.openhab.habdroid.ui.OpenHABWidgetListFragment), org.openhab.habdroid.ui.OpenHABWidgetListFragment$3, r0.<org.openhab.habdroid.ui.OpenHABWidgetListFragment$3: org.openhab.habdroid.ui.OpenHABWidgetListFragment this$0> = $r1, 12
