ID, Method, Class, Line,
0, void startActivityForResult(android.content.Intent;int), com.ichi2.anki.AnkiActivity, specialinvoke r0.<android.support.v7.app.AppCompatActivity: void startActivityForResult(android.content.Intent;int)>($r1; $i0), , 973, 
25, com.ichi2.anki.multimediacard.fields.IFieldController createControllerForField(com.ichi2.anki.multimediacard.fields.IField), com.ichi2.anki.multimediacard.fields.BasicControllerFactory, $i0 = $r3[$i0], 43, 
26, com.ichi2.anki.multimediacard.fields.IFieldController createControllerForField(com.ichi2.anki.multimediacard.fields.IField), com.ichi2.anki.multimediacard.fields.BasicControllerFactory, $i0 = virtualinvoke $r2.<com.ichi2.anki.multimediacard.fields.EFieldType: int ordinal()>(), 41, 
27, com.ichi2.anki.multimediacard.fields.IFieldController createControllerForField(com.ichi2.anki.multimediacard.fields.IField), com.ichi2.anki.multimediacard.fields.BasicControllerFactory, $r3 = <com.ichi2.anki.multimediacard.fields.BasicControllerFactory$1: int[] $SwitchMap$com$ichi2$anki$multimediacard$fields$EFieldType>, 39, 
28, com.ichi2.anki.multimediacard.fields.IFieldController createControllerForField(com.ichi2.anki.multimediacard.fields.IField), com.ichi2.anki.multimediacard.fields.BasicControllerFactory, $r2 = interfaceinvoke $r1.<com.ichi2.anki.multimediacard.fields.IField: com.ichi2.anki.multimediacard.fields.EFieldType getType()>(), 37, 
29, com.ichi2.anki.multimediacard.fields.EFieldType getType(), com.ichi2.anki.multimediacard.fields.ImageField, return r1, 107, 
30, com.ichi2.anki.multimediacard.fields.EFieldType getType(), com.ichi2.anki.multimediacard.fields.ImageField, r1 = <com.ichi2.anki.multimediacard.fields.EFieldType: com.ichi2.anki.multimediacard.fields.EFieldType IMAGE>, 105, 
31, void <init>(), com.ichi2.anki.multimediacard.fields.BasicImageFieldController, r0.<com.ichi2.anki.multimediacard.fields.BasicImageFieldController: android.util.DisplayMetrics mMetrics> = null, 19, 
32, void <init>(), com.ichi2.anki.multimediacard.fields.BasicImageFieldController, specialinvoke r0.<com.ichi2.anki.multimediacard.fields.FieldControllerBase: void <init>()>(), 17, 
33, void <init>(), com.ichi2.anki.multimediacard.fields.FieldControllerBase, specialinvoke r0.<java.lang.Object: void <init>()>(), 12, 
34, void <clinit>(), com.ichi2.anki.multimediacard.fields.EFieldType, <com.ichi2.anki.multimediacard.fields.EFieldType: com.ichi2.anki.multimediacard.fields.EFieldType[] $VALUES> = $r1, 43, 
35, void <clinit>(), com.ichi2.anki.multimediacard.fields.EFieldType, $r1[2] = $r0, 41, 
36, void <clinit>(), com.ichi2.anki.multimediacard.fields.EFieldType, $r0 = <com.ichi2.anki.multimediacard.fields.EFieldType: com.ichi2.anki.multimediacard.fields.EFieldType AUDIO>, 39, 
37, void <clinit>(), com.ichi2.anki.multimediacard.fields.EFieldType, $r1[1] = $r0, 37, 
38, void <clinit>(), com.ichi2.anki.multimediacard.fields.EFieldType, $r0 = <com.ichi2.anki.multimediacard.fields.EFieldType: com.ichi2.anki.multimediacard.fields.EFieldType IMAGE>, 35, 
39, void <clinit>(), com.ichi2.anki.multimediacard.fields.EFieldType, $r1[0] = $r0, 33, 
40, void <clinit>(), com.ichi2.anki.multimediacard.fields.EFieldType, $r0 = <com.ichi2.anki.multimediacard.fields.EFieldType: com.ichi2.anki.multimediacard.fields.EFieldType TEXT>, 31, 
41, void <clinit>(), com.ichi2.anki.multimediacard.fields.EFieldType, $r1 = newarray (com.ichi2.anki.multimediacard.fields.EFieldType)[3], 29, 
42, void <clinit>(), com.ichi2.anki.multimediacard.fields.EFieldType, <com.ichi2.anki.multimediacard.fields.EFieldType: com.ichi2.anki.multimediacard.fields.EFieldType AUDIO> = $r0, 27, 
43, void <clinit>(), com.ichi2.anki.multimediacard.fields.EFieldType, specialinvoke $r0.<com.ichi2.anki.multimediacard.fields.EFieldType: void <init>(java.lang.String;int)>("AUDIO"; 2), 25, 
44, void <clinit>(), com.ichi2.anki.multimediacard.fields.EFieldType, $r0 = new com.ichi2.anki.multimediacard.fields.EFieldType, 23, 
45, void <clinit>(), com.ichi2.anki.multimediacard.fields.EFieldType, <com.ichi2.anki.multimediacard.fields.EFieldType: com.ichi2.anki.multimediacard.fields.EFieldType IMAGE> = $r0, 21, 
46, void <clinit>(), com.ichi2.anki.multimediacard.fields.EFieldType, specialinvoke $r0.<com.ichi2.anki.multimediacard.fields.EFieldType: void <init>(java.lang.String;int)>("IMAGE"; 1), 19, 
47, void <clinit>(), com.ichi2.anki.multimediacard.fields.EFieldType, $r0 = new com.ichi2.anki.multimediacard.fields.EFieldType, 17, 
48, void <clinit>(), com.ichi2.anki.multimediacard.fields.EFieldType, <com.ichi2.anki.multimediacard.fields.EFieldType: com.ichi2.anki.multimediacard.fields.EFieldType TEXT> = $r0, 15, 
49, void <clinit>(), com.ichi2.anki.multimediacard.fields.EFieldType, specialinvoke $r0.<com.ichi2.anki.multimediacard.fields.EFieldType: void <init>(java.lang.String;int)>("TEXT"; 0), 13, 
50, void <clinit>(), com.ichi2.anki.multimediacard.fields.EFieldType, $r0 = new com.ichi2.anki.multimediacard.fields.EFieldType, 11, 
51, void <clinit>(), com.ichi2.anki.multimediacard.fields.BasicControllerFactory$1, <com.ichi2.anki.multimediacard.fields.BasicControllerFactory$1: int[] $SwitchMap$com$ichi2$anki$multimediacard$fields$EFieldType> = $r1, 17, 
52, void <clinit>(), com.ichi2.anki.multimediacard.fields.BasicControllerFactory$1, $r1 = newarray (int)[$i0], 15, 
53, void <clinit>(), com.ichi2.anki.multimediacard.fields.BasicControllerFactory$1, $i0 = lengthof $r0, 13, 
54, void <clinit>(), com.ichi2.anki.multimediacard.fields.BasicControllerFactory$1, $r0 = staticinvoke <com.ichi2.anki.multimediacard.fields.EFieldType: com.ichi2.anki.multimediacard.fields.EFieldType[] values()>(), 11, 
55, com.ichi2.anki.multimediacard.fields.EFieldType[] values(), com.ichi2.anki.multimediacard.fields.EFieldType, return $r1, 88, 
56, com.ichi2.anki.multimediacard.fields.EFieldType[] values(), com.ichi2.anki.multimediacard.fields.EFieldType, $r1 = (com.ichi2.anki.multimediacard.fields.EFieldType[]) $r0, 86, 
